family,dataset,model,seed,precision,recall,f1
promise-ck,ant-1.7,XGB,22,0.5087719298245614,0.58,0.5420560747663551
promise-ck,ant-1.7,LGB,22,0.5370370370370371,0.58,0.5576923076923077
promise-ck,ant-1.7,Stacking,22,0.6176470588235294,0.42,0.5
promise-ck,ant-1.7,RF-HP,22,0.5517241379310345,0.64,0.5925925925925926
promise-ck,ant-1.7,XGB-HP,22,0.5076923076923077,0.66,0.5739130434782609
promise-ck,ant-1.7,LGB-HP,22,0.5714285714285714,0.48,0.5217391304347826
promise-ck,ant-1.7,RF-SMOTE,22,0.546875,0.7,0.6140350877192983
promise-ck,ant-1.7,LR,23,0.410958904109589,0.6,0.4878048780487805
promise-ck,ant-1.7,RF,23,0.5384615384615384,0.42,0.47191011235955055
promise-ck,ant-1.7,XGB,23,0.49056603773584906,0.52,0.5048543689320388
promise-ck,ant-1.7,LGB,23,0.46296296296296297,0.5,0.4807692307692308
promise-ck,ant-1.7,Stacking,23,0.5116279069767442,0.44,0.4731182795698925
promise-ck,ant-1.7,RF-HP,23,0.509090909090909,0.56,0.5333333333333333
promise-ck,ant-1.7,XGB-HP,23,0.4918032786885246,0.6,0.5405405405405406
promise-ck,ant-1.7,LGB-HP,23,0.5,0.48,0.4897959183673469
promise-ck,ant-1.7,RF-SMOTE,23,0.4915254237288136,0.58,0.5321100917431193
promise-ck,ant-1.7,LR,24,0.49206349206349204,0.62,0.5486725663716814
promise-ck,ant-1.7,RF,24,0.6785714285714286,0.38,0.48717948717948717
promise-ck,ant-1.7,XGB,24,0.5333333333333333,0.48,0.5052631578947369
promise-ck,ant-1.7,LGB,24,0.5641025641025641,0.44,0.4943820224719101
promise-ck,ant-1.7,Stacking,24,0.59375,0.38,0.4634146341463415
promise-ck,ant-1.7,RF-HP,24,0.6170212765957447,0.58,0.5979381443298969
promise-ck,ant-1.7,XGB-HP,24,0.576271186440678,0.68,0.6238532110091743
promise-ck,ant-1.7,LGB-HP,24,0.5555555555555556,0.5,0.5263157894736842
promise-ck,ant-1.7,RF-SMOTE,24,0.5192307692307693,0.54,0.5294117647058824
promise-ck,ant-1.7,LR,25,0.5245901639344263,0.64,0.5765765765765766
promise-ck,ant-1.7,RF,25,0.5121951219512195,0.42,0.46153846153846156
promise-ck,ant-1.7,XGB,25,0.52,0.52,0.52
promise-ck,ant-1.7,LGB,25,0.5283018867924528,0.56,0.5436893203883495
promise-ck,ant-1.7,Stacking,25,0.5581395348837209,0.48,0.5161290322580645
promise-ck,ant-1.7,RF-HP,25,0.5166666666666667,0.62,0.5636363636363636
promise-ck,ant-1.7,XGB-HP,25,0.5384615384615384,0.7,0.6086956521739131
promise-ck,ant-1.7,LGB-HP,25,0.5333333333333333,0.48,0.5052631578947369
promise-ck,ant-1.7,RF-SMOTE,25,0.5,0.66,0.5689655172413793
promise-ck,ant-1.7,LR,26,0.46153846153846156,0.6,0.5217391304347826
promise-ck,ant-1.7,RF,26,0.6896551724137931,0.4,0.5063291139240507
promise-ck,ant-1.7,XGB,26,0.6176470588235294,0.42,0.5
promise-ck,ant-1.7,LGB,26,0.5952380952380952,0.5,0.5434782608695652
promise-ck,ant-1.7,Stacking,26,0.6666666666666666,0.32,0.43243243243243246
promise-ck,ant-1.7,RF-HP,26,0.5833333333333334,0.56,0.5714285714285714
